"food_nutrient_id","adjusted_amount","lab_method_id","nutrient_name"
"2227979","4.0","1001","Nitrogen by Dumas"
"2250906","","1001","Nitrogen"
"2201858","1.29","1001","Nitrogen by Dumas"
"9636165","2.14","1001","Nitrogen"
"2267406","2.94","1001","nitrogen"
"8524962","0.258","1001","Nitrogen Dumas method"
"9636225","2.19","1001","Nitrogen"
"8531743","7.28","1001","Nitrogen Dumas method"
"8522116","2.96","1001","Nitrogen Dumas method"
"2267476","2.86","1001","nitrogen"
"9638663","0.93","1001","Protein"
"2267683","3.12","1001","nitrogen"
"2227178","1.78","1001","Nitrogen by Dumas"
"2266985","3.01","1001","nitrogen"
"8524943","0.218","1001","Nitrogen Dumas method"
"8521966","2.96","1001","Nitrogen Dumas method"
"2230562","0.235","1001","nitrogen"
"9636866","1.06","1001","Nitrogen"
"2263614","0.819","1001","Nitrogen by Dumas"
"2202341","0.992","1001","Nitrogen by Dumas"
"2240016","","1001","Nitrogen"
"2227102","1.86","1001","Nitrogen by Dumas"
"2246575","","1001","Nitrogen"
"8525114","0.157","1001","Nitrogen Dumas method"
"2262860","0.176","1001","Nitrogen by Dumas"
"2239380","","1001","Nitrogen"
"2226822","1.89","1001","Nitrogen by Dumas"
"2262364","0.158","1001","Nitrogen by Dumas"
"9636651","2.13","1001","Nitrogen"
"2238471","","1001","Nitrogen"
"8524707","0.203","1001","nitrogen"
"2254355","","1001","Protein"
"2230600","0.221","1001","nitrogen"
"2237026","3.13","1001","Nitrogen by Dumas"
"9636041","1.39","1001","Nitrogen"
"8532042","6.51","1001","Nitrogen Dumas method"
"2246182","","1001","Nitrogen"
"8534872","6.93","1001","nitrogen"
"2263913","0.974","1001","Nitrogen by Dumas"
"2227786","3.78","1001","Nitrogen by Dumas"
"2235484","","1001","Nitrogen"
"2228063","4.0","1001","Nitrogen by Dumas"
"8531968","6.91","1001","Nitrogen Dumas method"
"2226625","1.95","1001","Nitrogen by Dumas"
"2239272","","1001","Nitrogen"
"2263574","0.941","1001","Nitrogen by Dumas"
"9636462","2.54","1001","Nitrogen"
"2237146","2.99","1001","Nitrogen by Dumas"
"2227945","3.8","1001","Nitrogen by Dumas"
"2262924","0.189","1001","Nitrogen by Dumas"
"2254052","","1001","Protein"
"9636969","0.869","1001","Nitrogen"
"2238143","","1001","Nitrogen"
"2264063","0.95","1001","Nitrogen by Dumas"
"2235395","","1001","Nitrogen"
"9636290","2.16","1001","Nitrogen"
"8516650","3.09","1001","Nitrogen Dumas method"
"2235379","","1001","Nitrogen"
"2227315","1.94","1001","Nitrogen by Dumas"
"9636021","1.71","1001","Nitrogen"
"9636631","2.43","1001","Nitrogen"
"9636125","2.19","1001","Nitrogen"
"2253984","","1001","Protein"
"8525057","0.226","1001","Nitrogen Dumas method"
"9636311","1.76","1001","Nitrogen"
"2235225","","1001","Nitrogen"
"2239715","","1001","Nitrogen"
"2236473","4.3","1001","Nitrogen by Dumas"
"2267054","2.83","1001","nitrogen"
"2262993","0.202","1001","Nitrogen by Dumas"
"2246636","","1001","Nitrogen"
"2230448","0.21","1001","nitrogen"
"2254170","","1001","Protein"
"8521816","2.66","1001","Nitrogen Dumas method"
"2262646","0.171","1001","Nitrogen by Dumas"
"2202206","1.04","1001","Nitrogen by Dumas"
"2201845","1.28","1001","Nitrogen by Dumas"
"8525038","0.179","1001","Nitrogen Dumas method"
"2235427","","1001","Nitrogen"
"9638686","0.72","1001","Protein"
"8535022","6.32","1001","nitrogen"
"8535106","5.95","1001","Nitrogen Dumas method"
"2263836","0.99","1001","Nitrogen by Dumas"
"2237206","2.65","1001","Nitrogen by Dumas"
"9638516","0.89","1001","Protein"
"2236630","3.97","1001","Nitrogen by Dumas"
"8524852","0.162","1001","Nitrogen"
"2237268","2.81","1001","Nitrogen by Dumas"
"8521516","2.96","1001","Nitrogen Dumas method"
"8521891","2.73","1001","Nitrogen Dumas method"
"2237981","","1001","Nitrogen"
"2238044","","1001","Nitrogen"
"2262790","0.181","1001","Nitrogen by Dumas"
"2238405","","1001","Nitrogen"
"9636525","2.48","1001","Nitrogen"
"2254037","","1001","Protein"
"2202019","1.26","1001","Nitrogen by Dumas"
"2238029","","1001","Nitrogen"
"2262419","0.2","1001","Nitrogen by Dumas"
"9636420","2.16","1001","Nitrogen"
"8531593","6.11","1001","Nitrogen Dumas method"
"8524833","0.166","1001","Nitrogen"
"2227253","1.73","1001","Nitrogen by Dumas"
"2263445","2.46","1001","Nitrogen by Dumas"
"8524924","0.221","1001","Nitrogen Dumas method"
"9636332","1.89","1001","Nitrogen"
"2246383","","1001","Nitrogen"
"2202096","1.25","1001","Nitrogen by Dumas"
"2263981","0.946","1001","Nitrogen by Dumas"
"2267959","3.04","1001","nitrogen"
"9636483","2.54","1001","Nitrogen"
"2267545","2.86","1001","nitrogen"
"2236460","3.79","1001","Nitrogen by Dumas"
"2250499","","1001","Nitrogen"
"8531818","6.54","1001","Nitrogen Dumas method"
"2267614","2.98","1001","nitrogen"
"2227382","1.92","1001","Nitrogen by Dumas"
"2254141","","1001","Protein"
"2250658","","1001","Nitrogen"
"9636353","2.03","1001","Nitrogen"
"8535256","6.48","1001","Nitrogen Dumas method"
"8525019","0.163","1001","Nitrogen Dumas method"
"8531893","6.43","1001","Nitrogen Dumas method"
"2235470","","1001","Nitrogen"
"2228271","4.29","1001","Nitrogen by Dumas"
"8521741","2.66","1001","Nitrogen Dumas method"
"2236971","2.97","1001","Nitrogen by Dumas"
"2267890","2.88","1001","nitrogen"
"2230524","0.23","1001","nitrogen"
"8524493","0.203","1001","nitrogen"
"2254290","","1001","Protein"
"2246321","","1001","Nitrogen"
"2235199","","1001","Nitrogen"
"2266852","3.06","1001","nitrogen"
"2263601","0.89","1001","Nitrogen by Dumas"
"2201941","1.28","1001","Nitrogen by Dumas"
"9636820","1.17","1001","Nitrogen"
"2201885","1.1","1001","Nitrogen by Dumas"
"2238077","","1001","Nitrogen"
"2236487","3.97","1001","Nitrogen by Dumas"
"2246512","","1001","Nitrogen"
"2238125","","1001","Nitrogen"
"2201872","1.25","1001","Nitrogen by Dumas"
"2237089","2.4","1001","Nitrogen by Dumas"
"9636504","2.08","1001","Nitrogen"
"2236916","3.53","1001","Nitrogen by Dumas"
"2250672","","1001","Nitrogen"
"2226885","1.71","1001","Nitrogen by Dumas"
"8516800","3.12","1001","Nitrogen Dumas method"
"9638639","0.83","1001","Protein"
"2230581","0.221","1001","nitrogen"
"2239505","","1001","Nitrogen"
"8521666","2.99","1001","Nitrogen Dumas method"
"2254210","","1001","Protein"
"9636799","1.0","1001","Nitrogen"
"2228035","3.82","1001","Nitrogen by Dumas"
"2228340","4.15","1001","Nitrogen by Dumas"
"9638420","1.15","1001","Protein"
"8535481","6.35","1001","Nitrogen Dumas method"
"9638396","1.12","1001","Protein"
"2263687","0.915","1001","Nitrogen by Dumas"
"2237996","","1001","Nitrogen"
"9636736","1.22","1001","Nitrogen"
"9638615","0.7","1001","Protein"
"2250365","","1001","Nitrogen"
"2202177","1.11","1001","Nitrogen by Dumas"
"9636269","2.02","1001","Nitrogen"
"2230619","0.224","1001","nitrogen"
"2250301","","1001","Nitrogen"
"2268098","2.98","1001","nitrogen"
"2239860","","1001","Nitrogen"
"2235570","","1001","Nitrogen"
"2227451","1.98","1001","Nitrogen by Dumas"
"9636715","1.09","1001","Nitrogen"
"2246879","","1001","Nitrogen"
"2263767","0.885","1001","Nitrogen by Dumas"
"8524871","0.166","1001","Nitrogen"
"2230467","0.205","1001","nitrogen"
"2238061","","1001","Nitrogen"
"9636591","2.24","1001","Nitrogen"
"2263587","0.989","1001","Nitrogen by Dumas"
"9638568","0.88","1001","Protein"
"2237404","2.99","1001","Nitrogen by Dumas"
"2235506","","1001","Nitrogen"
"2227008","1.95","1001","Nitrogen by Dumas"
"2246640","","1001","Nitrogen"
"8535181","7.22","1001","Nitrogen Dumas method"
"8516950","3.06","1001","Nitrogen Dumas method"
"8524795","0.168","1001","Nitrogen"
"8524814","0.16","1001","Nitrogen"
"9636891","1.07","1001","Nitrogen"
"2227507","1.86","1001","Nitrogen by Dumas"
"8522041","2.71","1001","Nitrogen Dumas method"
"2226681","1.81","1001","Nitrogen by Dumas"
"2227813","3.82","1001","Nitrogen by Dumas"
"2235566","","1001","Nitrogen"
"9638444","0.96","1001","Protein"
"2227876","3.78","1001","Nitrogen by Dumas"
"2246816","","1001","Nitrogen"
"9636671","2.32","1001","Nitrogen"
"2228409","3.82","1001","Nitrogen by Dumas"
"2237331","2.89","1001","Nitrogen by Dumas"
"2230486","0.174","1001","nitrogen"
"2262432","0.173","1001","Nitrogen by Dumas"
"2253919","","1001","Protein"
"8525095","0.221","1001","Nitrogen Dumas method"
"9636374","1.68","1001","Nitrogen"
"2250851","","1001","Nitrogen"
"2235408","","1001","Nitrogen"
"2263245","2.65","1001","Nitrogen by Dumas"
"2254194","","1001","Protein"
"2239326","","1001","Nitrogen"
"8535330","8.26","1001","Nitrogen Dumas method"
"2239440","","1001","Nitrogen"
"9636757","1.04","1001","Nitrogen"
"2254118","","1001","Protein"
"2263190","3.1","1001","Nitrogen by Dumas"
"8524479","0.216","1001","nitrogen"
"2238012","","1001","Nitrogen"
"8521291","2.96","1001","Nitrogen Dumas method"
"9636205","1.95","1001","Nitrogen"
"2239649","","1001","Nitrogen"
"2263373","3.9","1001","Nitrogen by Dumas"
"8517026","3.15","1001","Nitrogen Dumas method"
"2267193","2.94","1001","nitrogen"
"8524555","0.23","1001","nitrogen"
"2263301","3.34","1001","Nitrogen by Dumas"
"2227630","1.9","1001","Nitrogen by Dumas"
"21110933","0.2","1003","Fat"
"21110814","0","1003","Fat"
"21110805","0","1003","Fat"
"21110894","0.2","1003","Fat"
"21110871","0.2","1003","Fat"
"21110855","0.2","1003","Fat"
"21110448","0.1","1003","Fat"
"21110416","0.2","1003","Fat"
"21110411","0.2","1003","Fat"
"21110521","0","1003","Fat"
"21110499","0.2","1003","Fat"
"21110486","0.1","1003","Fat"
"21110313","0.2","1003","Fat"
"21110292","0.2","1003","Fat"
"21110369","0.2","1003","Fat"
"21110350","0.2","1003","Fat"
"21110708","0.1","1003","Fat"
"21110685","0","1003","Fat"
"21110776","0","1003","Fat"
"21110754","0","1003","Fat"
"21110734","0.1","1003","Fat"
"21110588","0.3","1003","Fat"
"21110581","0.2","1003","Fat"
"21110558","0.2","1003","Fat"
"21110641","0","1003","Fat"
"21110617","0.2","1003","Fat"
"21110013","0.1","1003","Fat"
"21109994","0.2","1003","Fat"
"21109983","0.2","1003","Fat"
"21109957","0.1","1003","Fat"
"21110170","0.2","1003","Fat"
"21110268","0.3","1003","Fat"
"21110256","0.2","1003","Fat"
"21110227","0.1","1003","Fat"
"21110208","0","1003","Fat"
"21110075","0.3","1003","Fat"
"21110047","0.3","1003","Fat"
"21110143","0.1","1003","Fat"
"21110112","0.2","1003","Fat"
"21110095","0.3","1003","Fat"
"9636223","1.6","1003","Fat"
"8535105","47.9","1003","Fat"
"13337955","0.1","1003","Fat"
"8525077","0.2","1003","Fat"
"8522042","31.5","1003","Fat"
"9638494","0.1","1003","Fat"
"2268030","1.0","1003","Fat"
"2240543","","1003","Total lipid (fat)"
"9636460","2.6","1003","Fat"
"2240433","","1003","Total lipid (fat)"
"2230487","0.2","1003","Fat"
"2240782","","1003","Total lipid (fat)"
"9635979","1.5","1003","Fat"
"13337783","0.2","1003","Fat"
"9638446","0.1","1003","Fat"
"13335625","0.5","1003","Fat"
"9638398","0.1","1003","Fat"
"13335646","0.4","1003","Fat"
"9636019","1.4","1003","Fat"
"2240858","","1003","Total lipid (fat)"
"9636203","1.5","1003","Fat"
"13337850","0.2","1003","Fat"
"9638594","0.1","1003","Fat"
"9636755","1.2","1003","Fat"
"9636039","1.2","1003","Fat"
"2230582","0.2","1003","Fat"
"2262057","","1003","Total lipid (fat)"
"8516651","2.7","1003","Fat"
"13337912","0.1","1003","Fat"
"9638688","0.1","1003","Fat"
"8535255","41.3","1003","Fat"
"2240706","","1003","Total lipid (fat)"
"9638617","0.1","1003","Fat"
"8524777","0.3","1003","Fat"
"8531742","32.8","1003","Fat"
"2267891","1.1","1003","Fat"
"2266853","0.9","1003","Fat"
"9636418","2.5","1003","Fat"
"8525115","0.2","1003","Fat"
"2240605","","1003","Total lipid (fat)"
"2243208","","1003","Total lipid (fat)"
"13337659","0.1","1003","Fat"
"8521217","30.1","1003","Fat"
"2240594","","1003","Total lipid (fat)"
"9636372","1.7","1003","Fat"
"9636776","1.4","1003","Fat"
"8524982","0.3","1003","Fat"
"2266986","0.6","1003","Fat"
"9636713","1.4","1003","Fat"
"8531967","38.0","1003","Fat"
"2267753","0.9","1003","Fat"
"9636288","1.5","1003","Fat"
"13337831","0.2","1003","Fat"
"13337449","0.1","1003","Fat"
"2244115","","1003","Total lipid (fat)"
"8516726","4.0","1003","Fat"
"9636569","1.8","1003","Fat"
"2230430","0.2","1003","Fat"
"9636267","2.3","1003","Fat"
"13337697","0.1","1003","Fat"
"2262125","","1003","Total lipid (fat)"
"8534798","36.7","1003","Fat"
"2240631","","1003","Total lipid (fat)"
"2242846","","1003","Total lipid (fat)"
"2267960","1.0","1003","Fat"
"9635999","1.8","1003","Fat"
"13337735","0.2","1003","Fat"
"2267684","0.8","1003","Fat"
"13337874","0.1","1003","Fat"
"8535023","34.1","1003","Fat"
"8524480","0.1","1003","Fat"
"2244251","","1003","Total lipid (fat)"
"2236195","","1003","Total lipid (fat)"
"9638665","0.1","1003","Fat"
"2242805","","1003","Total lipid (fat)"
"9638641","0.2","1003","Fat"
"13338256","0.1","1003","Fat"
"8521517","31.0","1003","Fat"
"13337931","0.2","1003","Fat"
"2243332","","1003","Total lipid (fat)"
"2230411","0.3","1003","Fat"
"8521817","31.0","1003","Fat"
"2267477","0.7","1003","Fat"
"13338022","0.2","1003","Fat"
"9636439","2.6","1003","Fat"
"13337530","0.3","1003","Fat"
"2267615","0.9","1003","Fat"
"8534948","36.4","1003","Fat"
"9636818","1.5","1003","Fat"
"8521967","31.0","1003","Fat"
"13338275","0.1","1003","Fat"
"8525020","0.3","1003","Fat"
"9636589","1.6","1003","Fat"
"2244134","","1003","Total lipid (fat)"
"2240495","","1003","Total lipid (fat)"
"2267546","1.0","1003","Fat"
"8525058","0.2","1003","Fat"
"8535480","38.3","1003","Fat"
"8524853","0.3","1003","Fat"
"2261974","","1003","Total lipid (fat)"
"2267055","0.9","1003","Fat"
"13337974","0.1","1003","Fat"
"9636734","1.2","1003","Fat"
"2261783","","1003","Total lipid (fat)"
"9636330","1.5","1003","Fat"
"13337592","0.3","1003","Fat"
"2268099","1.1","1003","Fat"
"13337511","0.1","1003","Fat"
"8532043","27.3","1003","Fat"
"8534729","38.2","1003","Fat"
"2262193","","1003","Total lipid (fat)"
"8522117","31.3","1003","Fat"
"13338294","0.2","1003","Fat"
"8524906","0.3","1003","Fat"
"2240697","","1003","Total lipid (fat)"
"9636351","1.6","1003","Fat"
"9636059","1.5","1003","Fat"
"13335639","0.3","1003","Fat"
"13337893","0.3","1003","Fat"
"8524708","0.2","1003","Fat"
"8525096","0.1","1003","Fat"
"8535331","33.9","1003","Fat"
"8531817","44.8","1003","Fat"
"13337716","0.2","1003","Fat"
"13338318","0.3","1003","Fat"
"2267822","0.9","1003","Fat"
"2267194","1.0","1003","Fat"
"13335618","0.3","1003","Fat"
"2242828","","1003","Total lipid (fat)"
"13337487","0.2","1003","Fat"
"8517025","3.6","1003","Fat"
"9638470","0.1","1003","Fat"
"8521667","30.9","1003","Fat"
"8524925","0.3","1003","Fat"
"2236162","","1003","Total lipid (fat)"
"2243170","","1003","Total lipid (fat)"
"13338237","0.2","1003","Fat"
"13338337","0.2","1003","Fat"
"2261986","","1003","Total lipid (fat)"
"13338165","0.2","1003","Fat"
"8524518","0.2","1003","Fat"
"9636968","1.4","1003","Fat"
"8524796","0.2","1003","Fat"
"8516951","3.5","1003","Fat"
"8521742","30.3","1003","Fat"
"2243501","","1003","Total lipid (fat)"
"8531892","32.1","1003","Fat"
"8534660","39.3","1003","Fat"
"2267407","0.8","1003","Fat"
"13338146","0.1","1003","Fat"
"9636309","1.6","1003","Fat"
"2267269","0.7","1003","Fat"
"13338065","0.1","1003","Fat"
"13337468","0.2","1003","Fat"
"13337640","0.1","1003","Fat"
"13335653","0.4","1003","Fat"
"8525001","0.2","1003","Fat"
"2242768","","1003","Total lipid (fat)"
"9636523","2.5","1003","Fat"
"8535180","34.9","1003","Fat"
"8524556","0.2","1003","Fat"
"9636163","1.5","1003","Fat"
"8531592","41.5","1003","Fat"
"2244037","","1003","Total lipid (fat)"
"9638570","0.1","1003","Fat"
"9638422","0.2","1003","Fat"
"9636629","1.6","1003","Fat"
"9636609","1.6","1003","Fat"
"2240479","","1003","Total lipid (fat)"
"13337678","0.2","1003","Fat"
"13337549","0.2","1003","Fat"
"8524944","0.2","1003","Fat"
"2230506","0.2","1003","Fat"
"2230544","0.3","1003","Fat"
"2230468","0.2","1003","Fat"
"2230601","0.2","1003","Fat"
"2230563","0.2","1003","Fat"
"2267125","0.9","1003","Fat"
"2227980","53.1","1003","Fat-Soxhlet"
"8524834","0.2","1003","Fat"
"9636941","1.9","1003","Fat"
"2240737","","1003","Total lipid (fat)"
"9636079","1.5","1003","Fat"
"2261838","","1003","Total lipid (fat)"
"8524872","0.2","1003","Fat"
"9636143","1.3","1003","Fat"
"9636797","1.1","1003","Fat"
"9636183","1.5","1003","Fat"
"8525039","0.3","1003","Fat"
"8524815","0.2","1003","Fat"
"2240363","","1003","Total lipid (fat)"
"13338046","0.1","1003","Fat"
"2240386","","1003","Total lipid (fat)"
"9636864","1.6","1003","Fat"
"8534873","35.1","1003","Fat"
"8521892","29.7","1003","Fat"
"2230449","0.1","1003","Fat"
"13338103","0.2","1003","Fat"
"8516801","5.0","1003","Fat"
"8521292","30.5","1003","Fat"
"8524963","0.3","1003","Fat"
"2262189","","1003","Total lipid (fat)"
"13337568","0.3","1003","Fat"
"8521592","30.9","1003","Fat"
"2240886","","1003","Total lipid (fat)"
"8521367","30.7","1003","Fat"
"9636481","2.5","1003","Fat"
"2267338","0.7","1003","Fat"
"9636502","3.7","1003","Fat"
"9636669","1.7","1003","Fat"
"9636123","1.5","1003","Fat"
"8535406","37.6","1003","Fat"
"9636649","1.6","1003","Fat"
"13337759","0.1","1003","Fat"
"13338356","0.2","1003","Fat"
"9638518","0.2","1003","Fat"
"2261906","","1003","Total lipid (fat)"
"2262009","","1003","Total lipid (fat)"
"2236124","","1003","Total lipid (fat)"
"9636889","2.8","1003","Fat"
"8524632","0.1","1003","Fat"
"2236099","","1003","Total lipid (fat)"
"13338218","0.1","1003","Fat"
"9636915","1.0","1003","Fat"
"13338127","0.2","1003","Fat"
"2262206","","1003","Total lipid (fat)"
"13335632","0.4","1003","Fat"
"2230525","0.1","1003","Fat"
"2261969","","1003","Total lipid (fat)"
"2230620","0.3","1003","Fat"
"13338084","0.2","1003","Fat"
"8516875","3.4","1003","Fat"
"8524494","0.1","1003","Fat"
"21110914","0.113","1004","Ash"
"21110846","0","1004","Ash"
"21110813","0","1004","Ash"
"21110808","0.286","1004","Ash"
"21110898","0","1004","Ash"
"21110862","0","1004","Ash"
"21110447","0.11","1004","Ash"
"21110433","0.41","1004","Ash"
"21110525","0.179","1004","Ash"
"21110506","0","1004","Ash"
"21110468","0.18","1004","Ash"
"21110333","1.49","1004","Ash"
"21110293","0.305","1004","Ash"
"21110285","0","1004","Ash"
"21110387","0.254","1004","Ash"
"21110376","0","1004","Ash"
"21110354","1.26","1004","Ash"
"21110693","0.948","1004","Ash"
"21110667","0.328","1004","Ash"
"21110774","0.172","1004","Ash"
"21110761","0.121","1004","Ash"
"21110735","0.162","1004","Ash"
"21110583","0.492","1004","Ash"
"21110539","0.124","1004","Ash"
"21110639","0","1004","Ash"
"21110612","0.237","1004","Ash"
"21110601","0.22","1004","Ash"
"21109987","0","1004","Ash"
"21109976","0.138","1004","Ash"
"21109956","0","1004","Ash"
"21110190","0.328","1004","Ash"
"21110178","0.157","1004","Ash"
"21110153","0.175","1004","Ash"
"21110246","0.215","1004","Ash"
"21110220","0.753","1004","Ash"
"21110063","0.3785","1004","Ash"
"21110053","0.143","1004","Ash"
"21110022","0.135","1004","Ash"
"21110136","0.17","1004","Ash"
"21110109","0.222","1004","Ash"
"2255812","","1004","Ash"
"9636417","1.73","1004","Ash"
"2256404","","1004","Ash"
"13337538","0.138","1004","Ash"
"2230618","2.32","1004","Ash"
"2246579","","1004","Ash"
"2236968","2.46","1004","Ash"
"2242554","","1004","Ash"
"2261975","","1004","Ash"
"2255762","","1004","Ash"
"2255618","","1004","Ash"
"2238338","","1004","Ash"
"2254038","","1004","Ash"
"2255757","","1004","Ash"
"2243817","","1004","Ash"
"2254119","","1004","Ash"
"8524478","3.09","1004","Ash"
"2255787","","1004","Ash"
"2263978","1.43","1004","Ash"
"2262431","5.85","1004","Ash"
"2242482","","1004","Ash"
"2244704","","1004","Ash"
"13338011","1.26","1004","Ash"
"2201884","1.98","1004","Ash"
"2227978","4.32","1004","Ash"
"2258996","","1004","Ash"
"2241848","","1004","Ash"
"2256481","","1004","Ash"
"2253933","","1004","Ash"
"2255688","","1004","Ash"
"2254142","","1004","Ash"
"2237401","2.41","1004","Ash"
"2254155","","1004","Ash"
"13338035","0.179","1004","Ash"
"9636266","0.774","1004","Ash"
"2262363","3.97","1004","Ash"
"2230466","2.13","1004","Ash"
"2244835","","1004","Ash"
"2226882","2.08","1004","Ash"
"2258128","","1004","Ash"
"2256828","","1004","Ash"
"2255960","","1004","Ash"
"2228117","3.9","1004","Ash"
"2230640","","1004","Ash"
"2238469","","1004","Ash"
"2259055","","1004","Ash"
"2255818","","1004","Ash"
"2235405","","1004","Ash"
"2250972","","1004","Ash"
"2242052","","1004","Ash"
"8531969","7.17","1004","Ash"
"8524797","2.81","1004","Ash"
"2220939","","1004","Ash"
"2262499","4.29","1004","Ash"
"13338226","0.157","1004","Ash"
"13338326","0.215","1004","Ash"
"2236549","4.95","1004","Ash"
"8524964","3.4","1004","Ash"
"2227944","3.46","1004","Ash"
"2227312","2.88","1004","Ash"
"8524983","3.01","1004","Ash"
"2237982","","1004","Ash"
"8535407","7.09","1004","Ash"
"2235296","","1004","Ash"
"2238110","","1004","Ash"
"2255241","","1004","Ash"
"2230485","2.18","1004","Ash"
"2239717","","1004","Ash"
"2235563","","1004","Ash"
"2263611","1.33","1004","Ash"
"2230897","","1004","Ash"
"2256544","","1004","Ash"
"2238210","","1004","Ash"
"2254921","","1004","Ash"
"8535257","6.37","1004","Ash"
"2239938","","1004","Ash"
"2256282","","1004","Ash"
"9638493","0.393","1004","Ash"
"13337901","0.948","1004","Ash"
"9636459","1.47","1004","Ash"
"2263584","1.5","1004","Ash"
"2250367","","1004","Ash"
"2267267","0.836","1004","Ash"
"13337438","0.1","1004","Ash"
"2246576","","1004","Ash"
"2255837","","1004","Ash"
"2220773","","1004","Ash"
"13337724","0.1","1004","Ash"
"2255362","","1004","Ash"
"2238062","","1004","Ash"
"2237023","3.05","1004","Ash"
"9636712","0.255","1004","Ash"
"2246184","","1004","Ash"
"2257276","","1004","Ash"
"2255833","","1004","Ash"
"9636940","0.536","1004","Ash"
"13338307","0.1","1004","Ash"
"2250908","","1004","Ash"
"2254356","","1004","Ash"
"2255772","","1004","Ash"
"8524516","3.14","1004","Ash"
"2227559","2.83","1004","Ash"
"2257489","","1004","Ash"
"2258265","","1004","Ash"
"2243900","","1004","Ash"
"13335624","1.9","1004","Ash"
"2239796","","1004","Ash"
"9635978","0.428","1004","Ash"
"2240018","","1004","Ash"
"2242178","","1004","Ash"
"2257874","","1004","Ash"
"2256626","","1004","Ash"
"9636522","1.27","1004","Ash"
"2258187","","1004","Ash"
"2237997","","1004","Ash"
"8534871","6.91","1004","Ash"
"8524873","2.95","1004","Ash"
"2258818","","1004","Ash"
"2228339","3.09","1004","Ash"
"2227627","2.9","1004","Ash"
"8521819","5.32","1004","Ash"
"2227448","2.96","1004","Ash"
"2237265","2.63","1004","Ash"
"2220869","","1004","Ash"
"2220725","","1004","Ash"
"13337629","0.121","1004","Ash"
"8524554","3.05","1004","Ash"
"8534727","6.37","1004","Ash"
"9636182","0.654","1004","Ash"
"2268097","1.02","1004","Ash"
"8531594","7.07","1004","Ash"
"2251048","","1004","Ash"
